 MAC 12:9F:C2:FF:FE:83   NAME cph guest 5 
 MAC 7A:8A:20:DA:F1:F6   NAME 10010   
 MAC 18:9C:27:2D:B8:E0   NAME ATT6juc7A2   
 MAC 9A:8A:20:DA:F1:F6   NAME    
 MAC 00:30:44:3F:FA:1F   NAME    
 MAC 02:9F:C2:FF:FE:83   NAME 10010   
 MAC F2:9F:C2:FF:FE:83   NAME SkyNet Stage 2 
 MAC   NAME   
 MAC Station  NAME   
 MAC 68:A4:0E:1F:3F:79   NAME   
 MAC C2:88:00:CF:5D:F0   NAME   
 MAC 5A:DD:AC:FF:D9:1D   NAME   
 MAC B2:95:E7:C0:A9:F9   NAME   
 MAC   NAME   
